Run,Event,pt1,eta1,phi1,Q1,type1,sigmaEtaEta1,HoverE1,isoTrack1,isoEcal1,isoHcal1,pt2,eta2,phi2,Q2,type2,sigmaEtaEta2,HoverE2,isoTrack2,isoEcal2,isoHcal2
163286,109060857,37.5667,2.2892,2.0526,-1,EE,0.0251,0.0090,0.0000,0.5329,0.6423,45.4315,1.4706,-1.1630,1,EB,0.0008,0.0000,0.0000,1.0190,0.0000
163286,109275715,36.2901,-0.8373,-1.5859,1,EB,0.0078,0.0438,0.0000,1.4970,0.6402,60.5754,-0.4896,1.0496,-1,EB,0.0112,0.0000,0.7185,1.8461,0.0000
163286,109075352,25.9705,-0.6974,1.6360,-1,EB,0.0097,0.0407,6.2870,5.0077,3.9249,45.2954,-2.0401,3.1187,1,EE,0.0260,0.0280,15.2170,4.5337,3.8370
163286,109169766,41.0075,1.4619,-0.5325,1,EB,0.0088,0.0000,0.0000,1.9670,0.5429,45.9013,1.1561,2.4786,-1,EB,0.0086,0.0000,0.0000,2.4388,0.5676
163286,108947653,39.8985,-0.5927,-2.3947,1,EB,0.0153,0.0000,2.5435,4.8691,0.0000,34.8931,-2.2444,0.6106,-1,EE,0.0290,0.0000,12.4229,0.4534,0.9096
163286,109260503,41.9583,-0.4056,-2.7564,1,EB,0.0126,0.0164,29.7964,8.9458,7.0811,36.7997,-2.3813,0.0790,1,EE,0.0315,0.0289,0.0000,4.9119,5.5508
163286,109491381,62.3848,1.0751,-1.7610,-1,EB,0.0083,0.0000,0.0000,2.8004,0.0000,43.4772,1.5828,1.4717,1,EE,0.0108,0.0195,15.3751,2.8608,3.1914
163286,109508443,25.1316,-2.1099,-1.8266,1,EE,0.0249,0.0000,0.0000,1.2863,0.2458,38.0420,0.3717,-0.8307,1,EB,0.0127,0.1062,8.5834,2.9123,0.0000
163286,110268001,32.3642,-0.5340,-2.6718,-1,EB,0.0109,0.0843,4.7355,2.1814,2.4859,40.6404,1.3910,0.0744,1,EB,0.0180,0.0000,12.4254,4.1619,7.4554
163286,110085994,31.4123,-0.2164,1.2954,-1,EB,0.0118,0.1096,18.8325,9.7857,6.1683,42.4105,-1.2758,-2.1235,-1,EB,0.0087,0.0000,20.4377,6.4224,2.4006
163286,110297282,27.4283,0.5552,-1.4774,-1,EB,0.0112,0.0246,2.4136,9.7124,0.7439,32.1866,1.3451,1.8395,1,EB,0.0084,0.0397,16.5181,6.1735,4.0262
163286,110310826,41.3224,-1.2472,1.0825,1,EB,0.0091,0.0000,30.7173,22.8157,8.7726,43.1364,-1.6012,-2.2186,-1,EE,0.0142,0.0334,14.9778,10.5528,4.5179
163286,110043177,36.5402,2.1731,-1.8121,-1,EE,0.0229,0.0000,3.7632,5.1393,2.6709,51.0922,1.1927,0.8206,-1,EB,0.0094,0.0180,31.6039,16.8252,4.6242
163286,110106153,38.5802,-0.7728,-1.5797,-1,EB,0.0087,0.0226,0.0000,1.1083,0.6402,38.4803,0.1411,1.5267,1,EB,0.0093,0.0000,0.0000,2.3563,1.8971
163286,109969547,31.3610,-0.1001,1.3768,1,EB,0.0124,0.0806,39.2218,21.9071,2.8022,58.5602,-0.9988,-1.8434,1,EB,0.0089,0.0716,10.1154,16.4911,4.1674
163286,110148035,43.0054,0.7937,-2.8393,1,EB,0.0181,0.0922,10.3052,7.1932,3.3952,41.2774,2.2304,0.2792,1,EE,0.0226,0.0782,10.5527,1.9453,8.0013
163286,109908152,29.4642,0.7274,-3.0675,1,EB,0.0089,0.0947,30.6725,12.8145,2.6201,37.4883,2.2096,0.4990,1,EE,0.0290,0.0143,5.3717,2.0350,4.6239
163286,110584844,28.8428,1.1951,1.7518,1,EB,0.0091,0.0000,20.8222,15.5528,0.0000,35.6574,-0.8122,-1.4555,1,EB,0.0123,0.0667,15.6994,7.4537,1.7269
163286,110668790,47.5727,-2.2180,-0.8152,1,EE,0.0474,0.1016,11.4498,2.3512,10.2853,57.7235,-1.6576,2.2054,1,EE,0.0151,0.0000,16.2211,17.5779,6.9440
163286,110493202,35.6338,1.9729,1.9766,-1,EE,0.0182,0.0000,0.0000,0.2569,0.0000,35.1704,1.3174,-1.3054,1,EB,0.0083,0.0000,0.0000,1.3824,0.0000
163286,110675522,41.7590,0.0709,2.3686,-1,EB,0.0111,0.1249,25.7368,5.8974,16.6809,25.9889,-1.0360,-1.3392,1,EB,0.0154,0.0850,11.5281,7.8133,0.7086
163286,110435357,29.8759,0.3279,1.3337,-1,EB,0.0092,0.0000,0.0000,2.8247,0.0000,34.0971,-1.6032,-1.7406,1,EE,0.0111,0.0000,0.7634,1.1340,0.3409
163286,111133569,35.3177,-0.0196,2.7516,1,EB,0.0105,0.0000,0.0000,1.6734,0.0000,48.0224,0.7999,-0.3249,-1,EB,0.0089,0.0000,0.0000,1.4019,0.0000
163286,111096706,27.8610,1.1745,0.2809,-1,EB,0.0217,0.0208,17.9092,14.4455,5.4000,36.6042,-1.1387,-2.9301,1,EB,0.0091,0.0000,14.1239,3.8744,4.1654
163286,111109810,31.3305,-0.6566,2.1881,1,EB,0.0123,0.0000,24.0077,15.8075,4.8881,48.8075,-0.3776,-0.9869,1,EB,0.0094,0.0341,1.2074,3.1011,3.2122
163286,111125290,38.1513,-0.9599,0.7459,-1,EB,0.0109,0.0617,3.3106,7.1002,0.0000,61.6516,-0.2496,-2.5071,1,EB,0.0094,0.0746,2.7132,12.0097,7.5856
163286,111035897,34.4047,1.2696,-3.0965,1,EB,0.0085,0.0267,6.4160,10.4583,0.3988,57.7365,2.2420,0.5119,-1,EE,0.0296,0.0825,13.0170,8.9856,2.4697
163286,110865947,25.5716,1.2476,-2.4061,-1,EB,0.0231,0.0416,20.8719,11.0227,9.2802,54.7574,-0.6225,1.1337,1,EB,0.0089,0.0399,15.4018,16.6840,7.5144
